# SmartHarvest 360 Detailed Plan Report
# Open detailed_plan_report.xls in Excel for separate worksheets.
# Each block below is one logical sheet.

[SHEET] Summary
key,value
farm,Hello
location,Melaka
soil,Silty
crop,Tomato
careScore,100
plantGrade,A
liveGrade,S
fertilizerPlan,Medium
overview,"Tomato on Melaka/Silty finished care 100 with live grade path S (plant-time A). 13 day-group action summaries, 90 field steps, and 5 recommendations are ready before market."

[SHEET] ActionByDayGroup
fromDay,toDay,phase,dominantAction,mainWeather,irrigate,conserve,fertilize,protect,other,waterL,fertilizerKg,growthFrom,growthTo,actionMix,summary
2,8,Early growth,Fertilize,Rain,1,0,6,0,0,1.95,2.40,2,9,"Irrigate 1, Fertilize 6","Early growth: Irrigate 1, Fertilize 6. Main weather Rain. Water 2.0 L, fertilizer 2.4 kg. Growth 2% to 9%."
9,15,Early growth,Fertilize,Rain,0,0,7,0,0,1.75,2.80,10,17,Fertilize 7,"Early growth: Fertilize 7. Main weather Rain. Water 1.8 L, fertilizer 2.8 kg. Growth 10% to 17%."
16,22,Early growth,Fertilize,Rain,0,0,7,0,0,1.75,2.80,18,24,Fertilize 7,"Early growth: Fertilize 7. Main weather Rain. Water 1.8 L, fertilizer 2.8 kg. Growth 18% to 24%."
23,29,Early growth,Fertilize,Rain,0,0,7,0,0,1.75,2.80,26,32,Fertilize 7,"Early growth: Fertilize 7. Main weather Rain. Water 1.8 L, fertilizer 2.8 kg. Growth 26% to 32%."
30,36,Mid season,Fertilize,Rain,0,0,7,0,0,1.75,2.80,33,40,Fertilize 7,"Mid season: Fertilize 7. Main weather Rain. Water 1.8 L, fertilizer 2.8 kg. Growth 33% to 40%."
37,43,Mid season,Fertilize,Rain,0,0,7,0,0,1.75,2.80,41,48,Fertilize 7,"Mid season: Fertilize 7. Main weather Rain. Water 1.8 L, fertilizer 2.8 kg. Growth 41% to 48%."
44,50,Mid season,Fertilize,Rain,0,0,7,0,0,1.75,2.80,49,56,Fertilize 7,"Mid season: Fertilize 7. Main weather Rain. Water 1.8 L, fertilizer 2.8 kg. Growth 49% to 56%."
51,57,Mid season,Irrigate,Rain,7,0,0,0,0,2.01,0.00,57,63,Irrigate 7,"Mid season: Irrigate 7. Main weather Rain. Water 2.0 L, fertilizer 0.0 kg. Growth 57% to 63%."
58,64,Pre-harvest,Irrigate,Rain,7,0,0,0,0,2.01,0.00,64,71,Irrigate 7,"Pre-harvest: Irrigate 7. Main weather Rain. Water 2.0 L, fertilizer 0.0 kg. Growth 64% to 71%."
65,71,Pre-harvest,Irrigate,Rain,7,0,0,0,0,2.01,0.00,72,79,Irrigate 7,"Pre-harvest: Irrigate 7. Main weather Rain. Water 2.0 L, fertilizer 0.0 kg. Growth 72% to 79%."
72,78,Pre-harvest,Irrigate,Rain,7,0,0,0,0,2.01,0.00,80,87,Irrigate 7,"Pre-harvest: Irrigate 7. Main weather Rain. Water 2.0 L, fertilizer 0.0 kg. Growth 80% to 87%."
79,85,Pre-harvest,Irrigate,Rain,7,0,0,0,0,2.01,0.00,88,94,Irrigate 7,"Pre-harvest: Irrigate 7. Main weather Rain. Water 2.0 L, fertilizer 0.0 kg. Growth 88% to 94%."
86,90,Pre-harvest,Irrigate,Rain,5,0,0,0,0,1.44,0.00,96,100,Irrigate 5,"Pre-harvest: Irrigate 5. Main weather Rain. Water 1.4 L, fertilizer 0.0 kg. Growth 96% to 100%."

[SHEET] DailySteps
stepNumber,action,weather,outcome,note
1,Setup,Sunny,Season started at 1%,Baseline day - later actions move care and grade.
2,Irrigate,Rain,Growing - growth 2%,Irrigation supports growth on dry/sunny days.
3,Fertilize,Rain,Growing - growth 3%,Fertilizer day - keep stock aligned with the ML plan band.
4,Fertilize,Cloudy,Growing - growth 4%,Fertilizer day - keep stock aligned with the ML plan band.
5,Fertilize,Rain,Growing - growth 6%,Fertilizer day - keep stock aligned with the ML plan band.
6,Fertilize,Rain,Growing - growth 7%,Fertilizer day - keep stock aligned with the ML plan band.
7,Fertilize,Rain,Growing - growth 8%,Fertilizer day - keep stock aligned with the ML plan band.
8,Fertilize,Rain,Growing - growth 9%,Fertilizer day - keep stock aligned with the ML plan band.
9,Fertilize,Rain,Growing - growth 10%,Fertilizer day - keep stock aligned with the ML plan band.
10,Fertilize,Rain,Growing - growth 11%,Fertilizer day - keep stock aligned with the ML plan band.
11,Fertilize,Rain,Growing - growth 12%,Fertilizer day - keep stock aligned with the ML plan band.
12,Fertilize,Rain,Growing - growth 13%,Fertilizer day - keep stock aligned with the ML plan band.
13,Fertilize,Rain,Growing - growth 14%,Fertilizer day - keep stock aligned with the ML plan band.
14,Fertilize,Rain,Growing - growth 16%,Fertilizer day - keep stock aligned with the ML plan band.
15,Fertilize,Rain,Growing - growth 17%,Fertilizer day - keep stock aligned with the ML plan band.
16,Fertilize,Rain,Growing - growth 18%,Fertilizer day - keep stock aligned with the ML plan band.
17,Fertilize,Rain,Growing - growth 19%,Fertilizer day - keep stock aligned with the ML plan band.
18,Fertilize,Rain,Growing - growth 20%,Fertilizer day - keep stock aligned with the ML plan band.
19,Fertilize,Rain,Growing - growth 21%,Fertilizer day - keep stock aligned with the ML plan band.
20,Fertilize,Rain,Growing - growth 22%,Fertilizer day - keep stock aligned with the ML plan band.
21,Fertilize,Rain,Growing - growth 23%,Fertilizer day - keep stock aligned with the ML plan band.
22,Fertilize,Rain,Growing - growth 24%,Fertilizer day - keep stock aligned with the ML plan band.
23,Fertilize,Rain,Growing - growth 26%,Fertilizer day - keep stock aligned with the ML plan band.
24,Fertilize,Rain,Growing - growth 27%,Fertilizer day - keep stock aligned with the ML plan band.
25,Fertilize,Rain,Growing - growth 28%,Fertilizer day - keep stock aligned with the ML plan band.
26,Fertilize,Rain,Growing - growth 29%,Fertilizer day - keep stock aligned with the ML plan band.
27,Fertilize,Rain,Growing - growth 30%,Fertilizer day - keep stock aligned with the ML plan band.
28,Fertilize,Rain,Growing - growth 31%,Fertilizer day - keep stock aligned with the ML plan band.
29,Fertilize,Rain,Growing - growth 32%,Fertilizer day - keep stock aligned with the ML plan band.
30,Fertilize,Rain,Growing - growth 33%,Fertilizer day - keep stock aligned with the ML plan band.
31,Fertilize,Rain,Growing - growth 34%,Fertilizer day - keep stock aligned with the ML plan band.
32,Fertilize,Rain,Growing - growth 36%,Fertilizer day - keep stock aligned with the ML plan band.
33,Fertilize,Rain,Growing - growth 37%,Fertilizer day - keep stock aligned with the ML plan band.
34,Fertilize,Rain,Growing - growth 38%,Fertilizer day - keep stock aligned with the ML plan band.
35,Fertilize,Rain,Growing - growth 39%,Fertilizer day - keep stock aligned with the ML plan band.
36,Fertilize,Rain,Growing - growth 40%,Fertilizer day - keep stock aligned with the ML plan band.
37,Fertilize,Rain,Growing - growth 41%,Fertilizer day - keep stock aligned with the ML plan band.
38,Fertilize,Rain,Growing - growth 42%,Fertilizer day - keep stock aligned with the ML plan band.
