@relation crop_recommend

@attribute location {Johor,Kedah,Kelantan,Melaka,'Negeri Sembilan',Pahang,Perak,Perlis,'Pulau Pinang',Sabah,Sarawak,Selangor,Terengganu,'Wilayah Persekutuan'}
@attribute soil {Clay,Loam,Sandy,Silty}
@attribute water numeric
@attribute fertilizerStock numeric
@attribute budget numeric
@attribute land numeric
@attribute npkBand numeric
@attribute crop {Tomato,Lettuce,Chili,Corn,Paddy,Papaya,Durian}

@data
Melaka,Silty,102.0,15.7,3354.0,2.2,1,Lettuce
Pahang,Loam,131.3,16.2,16504.4,5.7,2,Durian
Kedah,Clay,294.4,15.9,14709.2,5.2,1,Paddy
Pahang,Clay,188.1,24.9,8345.1,12.9,2,Corn
'Pulau Pinang',Loam,179.6,23.3,8106.9,5.7,1,Tomato
Kedah,Clay,167.0,29.2,8079.0,8.7,1,Corn
Kedah,Loam,328.8,24.9,11518.9,11.2,1,Paddy
Perlis,Sandy,117.4,22.1,13586.3,3.7,0,Chili
Terengganu,Loam,139.7,34.4,19491.2,7.4,2,Durian
Johor,Sandy,132.4,22.7,8051.8,6.3,2,Chili
'Pulau Pinang',Clay,157.8,19.0,7734.5,4.7,1,Tomato
Terengganu,Clay,228.7,22.8,15289.3,11.7,2,Paddy
Kedah,Loam,230.7,27.4,14018.5,5.7,1,Paddy
Selangor,Loam,180.0,16.0,9000.0,5.0,1,Tomato
Kelantan,Silty,80.3,14.1,6879.5,2.7,2,Lettuce
Kedah,Loam,167.3,22.5,10117.4,6.8,1,Corn
Kelantan,Sandy,146.8,15.1,5720.6,5.1,2,Chili
Perlis,Clay,258.9,19.4,11956.2,4.5,0,Paddy
Selangor,Loam,169.9,20.0,10326.4,7.6,1,Corn
Sarawak,Loam,115.6,10.9,9417.6,5.7,2,Papaya
Terengganu,Loam,112.4,31.2,17044.0,7.7,2,Durian
Kedah,Clay,300.4,16.0,9234.4,11.3,1,Paddy
Johor,Loam,150.0,14.0,8000.0,4.0,2,Papaya
Sabah,Loam,113.2,11.9,4056.7,1.6,2,Lettuce
Selangor,Loam,177.0,16.7,9349.0,4.4,1,Tomato
Selangor,Sandy,108.1,14.0,10770.6,6.0,1,Chili
Kelantan,Loam,179.4,21.2,9080.2,5.2,2,Papaya
Pahang,Clay,122.8,30.1,20183.7,7.1,2,Durian
Johor,Sandy,167.5,14.4,13147.8,3.1,2,Chili
Kelantan,Loam,164.9,14.1,7857.4,5.3,2,Papaya
Sarawak,Loam,131.5,19.4,10761.7,4.1,2,Papaya
Pahang,Loam,147.4,20.7,13383.6,8.4,2,Durian
'Wilayah Persekutuan',Silty,99.4,5.2,8353.3,3.1,1,Lettuce
Kedah,Clay,325.9,29.1,7013.2,9.3,1,Paddy
Sarawak,Clay,202.1,20.0,9211.6,8.3,2,Corn
Pahang,Loam,126.1,33.4,20710.3,7.3,2,Durian
Perak,Clay,208.6,20.8,10432.4,9.7,2,Corn
