@relation fertilizer_plan

@attribute location {Johor,Kedah,Kelantan,Melaka,'Negeri Sembilan',Pahang,Perak,Perlis,'Pulau Pinang',Sabah,Sarawak,Selangor,Terengganu,'Wilayah Persekutuan'}
@attribute soil {Clay,Loam,Sandy,Silty}
@attribute crop {Tomato,Lettuce,Chili,Corn,Paddy,Papaya,Durian}
@attribute water numeric
@attribute fertilizerStock numeric
@attribute plan {Low,Medium,High}

@data
Johor,Clay,Tomato,247.0,21.1,Medium
Johor,Clay,Tomato,236.4,25.1,Low
Johor,Clay,Tomato,212.2,13.9,Medium
Johor,Clay,Lettuce,121.3,38.6,Low
Johor,Clay,Lettuce,311.1,31.3,Low
Johor,Clay,Lettuce,177.5,19.5,Low
Johor,Clay,Chili,129.3,18.7,Medium
Johor,Clay,Chili,109.3,38.4,Low
Johor,Clay,Chili,245.0,15.9,Medium
Johor,Clay,Corn,171.5,7.7,High
Johor,Clay,Corn,307.0,34.1,Low
Johor,Clay,Corn,301.9,25.2,Low
Johor,Clay,Paddy,252.4,4.1,High
Johor,Clay,Paddy,135.0,11.0,High
Johor,Clay,Paddy,298.3,18.1,Medium
Johor,Clay,Papaya,217.4,15.0,Low
Johor,Clay,Papaya,249.0,18.2,Low
Johor,Clay,Papaya,286.5,18.7,Low
Johor,Clay,Durian,133.0,5.0,High
Johor,Clay,Durian,195.9,11.1,High
Johor,Clay,Durian,238.2,4.7,High
Johor,Loam,Tomato,185.3,11.2,Medium
Johor,Loam,Tomato,305.2,22.8,Medium
Johor,Loam,Tomato,278.3,7.1,High
Johor,Loam,Lettuce,331.1,25.6,Low
Johor,Loam,Lettuce,96.2,23.0,Medium
Johor,Loam,Lettuce,326.1,3.8,Medium
Johor,Loam,Chili,166.2,31.9,Low
Johor,Loam,Chili,153.3,16.0,Medium
Johor,Loam,Chili,274.5,5.3,High
Johor,Loam,Corn,73.8,10.8,High
Johor,Loam,Corn,209.9,39.5,Low
Johor,Loam,Corn,294.7,17.6,Medium
Johor,Loam,Paddy,261.0,13.7,Medium
Johor,Loam,Paddy,105.2,16.8,High
Johor,Loam,Paddy,175.8,23.5,Medium
Johor,Loam,Papaya,129.6,3.5,Medium
Johor,Loam,Papaya,296.7,30.9,Low
Johor,Loam,Papaya,207.4,21.6,Low
Johor,Loam,Durian,281.6,4.6,High
Johor,Loam,Durian,139.3,3.9,High
Johor,Loam,Durian,236.8,28.5,Low
Johor,Sandy,Tomato,69.5,30.7,Medium
Johor,Sandy,Tomato,287.6,17.0,High
Johor,Sandy,Tomato,172.2,33.3,Medium
Johor,Sandy,Lettuce,305.5,34.9,Low
Johor,Sandy,Lettuce,81.4,21.7,High
Johor,Sandy,Lettuce,257.0,30.1,Low
Johor,Sandy,Chili,65.6,30.5,Medium
Johor,Sandy,Chili,211.7,37.0,Medium
Johor,Sandy,Chili,86.8,24.8,High
Johor,Sandy,Corn,169.5,33.8,Medium
Johor,Sandy,Corn,300.6,32.0,Medium
Johor,Sandy,Corn,179.0,30.5,Medium
Johor,Sandy,Paddy,144.6,20.0,High
Johor,Sandy,Paddy,87.9,38.9,High
Johor,Sandy,Paddy,221.3,16.9,High
Johor,Sandy,Papaya,180.3,11.2,High
Johor,Sandy,Papaya,173.8,13.3,High
Johor,Sandy,Papaya,139.6,29.0,Low
Johor,Sandy,Durian,201.8,17.1,High
Johor,Sandy,Durian,338.1,29.9,Medium
Johor,Sandy,Durian,326.4,31.2,Medium
Johor,Silty,Tomato,260.1,19.7,Medium
Johor,Silty,Tomato,221.8,3.9,High
Johor,Silty,Tomato,275.9,19.5,Medium
Johor,Silty,Lettuce,193.5,7.0,Medium
Johor,Silty,Lettuce,147.0,8.3,Medium
Johor,Silty,Lettuce,236.4,6.1,Medium
Johor,Silty,Chili,217.0,10.7,Medium
Johor,Silty,Chili,323.8,25.0,Low
